Profit,Margin,Sales,COGS,Total Expenses,Marketing,Inventory,Budget Profit,Budget COGS,Budget Margin,Budget Sales,Area Code,ProductId,Date
47,89,150,61,42,19,390,50,50,80,130,608,11,"01/01/12 00:00:00"
47,73,123,50,26,14,821,60,50,80,130,475,11,"01/01/12 00:00:00"
35,56,94,38,21,10,777,40,40,60,100,475,13,"01/01/12 00:00:00"
30,75,130,55,45,18,312,40,50,70,120,475,6,"01/01/12 00:00:00"
7,105,180,75,98,68,522,20,70,100,170,860,5,"01/01/12 00:00:00"
115,186,310,124,71,40,961,130,110,180,290,475,2,"01/01/12 00:00:00"
40,105,190,85,65,32,494,40,60,80,140,860,9,"01/01/12 00:00:00"
47,92,170,78,45,24,965,50,50,80,130,475,10,"01/01/12 00:00:00"
28,48,80,32,20,8,821,40,30,50,80,954,11,"01/01/12 00:00:00"
28,48,81,33,20,9,777,40,30,50,80,754,13,"01/01/12 00:00:00"
50,103,180,77,53,25,432,60,70,100,170,754,6,"01/01/12 00:00:00"
9,111,190,79,102,72,551,30,70,110,180,239,5,"01/01/12 00:00:00"
67,116,200,84,49,26,500,70,80,110,190,754,3,"01/01/12 00:00:00"
68,126,210,84,58,27,651,70,80,110,190,954,2,"01/01/12 00:00:00"
34,62,110,48,28,15,623,30,30,50,80,863,8,"01/01/12 00:00:00"
13,66,120,54,53,20,312,20,40,50,90,239,9,"01/01/12 00:00:00"
39,81,150,69,42,21,965,40,50,60,110,772,10,"01/01/12 00:00:00"
29,48,80,32,19,8,821,40,30,50,80,508,11,"01/01/12 00:00:00"
29,48,80,32,19,8,456,40,30,50,80,781,13,"01/01/12 00:00:00"
100,171,341,170,71,47,1091,110,160,170,330,978,7,"01/01/12 00:00:00"
-23,63,126,63,86,57,435,-10,60,60,120,781,5,"01/01/12 00:00:00"
367,422,494,72,55,23,558,360,60,400,460,413,2,"01/01/12 00:00:00"
17,72,130,58,55,22,338,30,40,60,100,339,9,"01/01/12 00:00:00"
10,27,45,18,17,5,821,20,10,30,40,603,11,"01/01/12 00:00:00"
11,26,43,17,15,4,777,20,10,30,40,603,13,"01/01/12 00:00:00"
-8,36,65,29,44,11,169,0,20,40,60,603,7,"01/01/12 00:00:00"
-10,53,90,37,63,34,261,0,30,50,80,603,5,"01/01/12 00:00:00"
20,55,93,38,35,12,241,30,30,50,80,603,1,"01/01/12 00:00:00"
25,72,120,48,47,15,372,40,40,70,110,603,2,"01/01/12 00:00:00"
-4,42,76,34,46,12,197,0,20,30,50,603,9,"01/01/12 00:00:00"
101,139,234,95,38,26,821,120,100,150,250,347,11,"01/01/12 00:00:00"
94,130,219,89,36,24,777,110,90,140,230,646,12,"01/01/12 00:00:00"
54,80,134,54,26,15,456,70,50,90,140,347,13,"01/01/12 00:00:00"
175,262,490,228,87,63,1459,200,210,270,480,631,7,"01/01/12 00:00:00"
-172,-44,61,105,128,95,725,-170,100,-50,50,315,5,"01/01/12 00:00:00"
262,407,678,271,145,94,2101,260,260,380,640,716,2,"01/01/12 00:00:00"
111,238,483,245,127,93,1419,100,180,190,370,607,9,"01/01/12 00:00:00"
-113,-27,180,207,86,64,965,-70,150,-10,140,845,10,"01/01/12 00:00:00"
70,113,180,67,43,20,400,80,50,100,150,337,5,"01/01/12 00:00:00"
48,89,150,61,41,19,390,50,50,70,120,337,6,"01/01/12 00:00:00"
35,63,112,49,28,16,623,40,40,60,100,337,8,"01/01/12 00:00:00"
40,105,190,85,65,32,494,40,80,100,180,504,9,"01/01/12 00:00:00"
8,105,180,75,97,68,522,10,60,90,150,504,4,"01/01/12 00:00:00"
30,51,85,34,21,9,777,50,40,60,100,225,2,"01/01/12 00:00:00"
28,48,81,33,20,9,777,50,40,60,100,985,3,"01/01/12 00:00:00"
-10,53,90,37,63,34,261,-10,30,40,70,505,5,"01/01/12 00:00:00"
9,47,82,35,38,11,196,10,30,40,70,505,6,"01/01/12 00:00:00"
11,27,45,18,16,5,821,20,10,30,40,505,8,"01/01/12 00:00:00"
4,34,62,28,30,8,965,20,20,40,60,505,9,"01/01/12 00:00:00"
-8,36,65,29,44,11,169,0,20,30,50,505,4,"01/01/12 00:00:00"
26,72,120,48,46,15,372,50,60,90,150,505,2,"01/01/12 00:00:00"
-39,11,99,88,50,27,525,-30,110,10,120,505,3,"01/01/12 00:00:00"
28,48,80,32,20,8,456,40,20,40,60,405,5,"01/01/12 00:00:00"
67,126,210,84,59,27,651,70,70,110,180,405,6,"01/01/12 00:00:00"
13,66,120,54,53,20,312,20,50,60,110,918,8,"01/01/12 00:00:00"
10,111,190,79,101,72,551,30,70,110,180,580,9,"01/01/12 00:00:00"
66,116,200,84,50,26,500,70,70,100,170,405,4,"01/01/12 00:00:00"
29,56,100,44,27,14,623,50,50,70,120,580,2,"01/01/12 00:00:00"
28,48,80,32,20,8,821,50,40,60,100,580,3,"01/01/12 00:00:00"
95,130,219,89,35,24,777,90,70,110,180,325,5,"01/01/12 00:00:00"
54,80,134,54,26,15,456,60,40,70,110,956,6,"01/01/12 00:00:00"
33,80,140,60,47,19,336,50,50,80,130,281,8,"01/01/12 00:00:00"
42,83,140,57,41,18,364,50,50,80,130,254,9,"01/01/12 00:00:00"
53,108,180,72,55,23,558,50,60,90,150,830,4,"01/01/12 00:00:00"
159,245,452,207,86,64,965,220,260,300,560,409,2,"01/01/12 00:00:00"
68,107,190,83,39,27,623,100,100,130,230,325,3,"01/01/12 00:00:00"
44,68,114,46,24,12,777,40,40,60,100,435,4,"01/01/12 00:00:00"
34,63,112,49,29,16,623,40,40,60,100,435,5,"01/01/12 00:00:00"
47,73,123,50,26,14,821,50,40,70,110,435,6,"01/01/12 00:00:00"
21,55,93,38,34,12,241,30,30,50,80,801,8,"01/01/12 00:00:00"
25,72,120,48,47,15,372,30,40,60,100,435,9,"01/01/12 00:00:00"
-40,11,99,88,51,27,525,-30,70,10,80,435,10,"01/01/12 00:00:00"
-10,53,90,37,63,34,261,0,20,40,60,435,11,"01/01/12 00:00:00"
9,47,82,35,38,11,196,10,20,30,50,435,12,"01/01/12 00:00:00"
-9,36,65,29,45,11,169,10,10,30,40,435,13,"01/01/12 00:00:00"
47,92,170,78,45,24,965,80,90,120,210,801,1,"01/01/12 00:00:00"
30,75,130,55,45,18,312,70,60,100,160,435,2,"01/01/12 00:00:00"
39,105,190,85,66,32,494,70,100,130,230,801,3,"01/01/12 00:00:00"
140,228,456,228,88,63,1459,150,210,220,430,661,4,"01/01/12 00:00:00"
17,145,250,105,128,95,725,20,100,140,240,818,5,"01/01/12 00:00:00"
203,312,546,234,109,77,1310,200,220,300,520,213,6,"01/01/12 00:00:00"
102,139,234,95,37,26,821,100,80,120,200,510,8,"01/01/12 00:00:00"
160,245,452,207,85,64,965,160,170,220,390,310,9,"01/01/12 00:00:00"
67,107,190,83,40,27,623,60,70,90,160,707,10,"01/01/12 00:00:00"
94,130,219,89,36,24,777,80,50,90,140,619,11,"01/01/12 00:00:00"
54,80,134,54,26,15,456,60,30,60,90,650,12,"01/01/12 00:00:00"
54,108,180,72,54,23,558,50,40,80,120,760,13,"01/01/12 00:00:00"
-2,50,145,95,52,30,608,30,110,70,180,916,1,"01/01/12 00:00:00"
262,407,678,271,145,94,2101,370,340,500,840,559,2,"01/01/12 00:00:00"
-117,-26,118,144,91,47,862,-120,180,-40,140,650,3,"01/01/12 00:00:00"
11,26,43,17,15,4,777,20,10,30,40,775,4,"01/01/12 00:00:00"
10,27,45,18,17,5,821,20,10,30,40,702,5,"01/01/12 00:00:00"
11,26,43,17,15,4,777,20,10,30,40,775,6,"01/01/12 00:00:00"
4,34,62,28,30,8,965,20,30,40,70,775,3,"01/01/12 00:00:00"
16,145,250,105,129,95,725,30,90,130,220,702,8,"01/01/12 00:00:00"
111,201,345,144,90,47,862,120,120,180,300,775,9,"01/01/12 00:00:00"
86,139,234,95,53,30,608,90,80,120,200,702,10,"01/01/12 00:00:00"
203,312,546,234,109,77,1310,150,150,220,370,775,11,"01/01/12 00:00:00"
141,228,456,228,87,63,1459,100,150,160,310,775,12,"01/01/12 00:00:00"
-354,-245,17,245,126,93,1419,-240,160,-160,0,702,13,"01/01/12 00:00:00"
-3,42,76,34,45,12,197,10,40,50,90,702,2,"01/01/12 00:00:00"
16,72,130,58,56,22,338,20,50,70,120,503,4,"01/01/12 00:00:00"
33,80,140,60,47,19,336,50,50,80,130,503,5,"01/01/12 00:00:00"
99,171,341,170,72,47,1091,100,160,160,320,971,6,"01/01/12 00:00:00"
42,83,140,57,41,18,364,70,70,100,170,971,3,"01/01/12 00:00:00"
33,54,90,36,21,10,777,40,30,40,70,971,8,"01/01/12 00:00:00"
29,56,100,44,27,14,623,30,30,50,80,503,9,"01/01/12 00:00:00"
28,48,80,32,20,8,456,30,20,30,50,971,11,"01/01/12 00:00:00"
68,126,210,84,58,27,651,60,50,90,140,503,12,"01/01/12 00:00:00"
67,116,200,84,49,26,500,50,50,80,130,541,13,"01/01/12 00:00:00"
1,87,150,63,86,57,435,40,70,110,180,541,1,"01/01/12 00:00:00"
28,93,160,67,65,22,400,60,80,120,200,503,2,"01/01/12 00:00:00"
35,62,110,48,27,15,623,40,40,60,100,425,4,"01/01/12 00:00:00"
13,66,120,54,53,20,312,20,50,60,110,253,5,"01/01/12 00:00:00"
39,81,150,69,42,21,965,60,60,80,140,206,6,"01/01/12 00:00:00"
9,111,190,79,102,72,551,60,90,140,230,509,3,"01/01/12 00:00:00"
115,186,310,124,71,40,961,120,100,170,270,206,8,"01/01/12 00:00:00"
30,51,85,34,21,9,777,50,20,50,70,360,9,"01/01/12 00:00:00"
70,113,180,67,43,20,400,50,40,80,120,360,11,"01/01/12 00:00:00"
48,89,150,61,41,19,390,40,40,60,100,253,12,"01/01/12 00:00:00"
8,105,180,75,97,68,522,20,40,80,120,360,13,"01/01/12 00:00:00"
38,77,130,53,39,16,338,70,60,100,160,206,2,"01/01/12 00:00:00"
105,144,243,99,39,27,766,120,100,150,250,303,1,"02/01/12 00:00:00"
68,107,190,83,39,27,613,80,80,110,190,720,2,"02/01/12 00:00:00"
99,137,232,95,38,26,809,110,100,140,240,719,3,"02/01/12 00:00:00"
30,56,100,44,26,14,618,30,30,50,80,970,13,"02/01/12 00:00:00"
80,112,189,77,32,21,449,110,80,140,220,970,5,"02/01/12 00:00:00"
59,114,189,75,55,24,549,90,80,140,220,303,6,"02/01/12 00:00:00"
99,170,340,170,71,47,1073,100,140,150,290,970,8,"02/01/12 00:00:00"
-3,75,129,54,78,49,427,10,40,70,110,970,9,"02/01/12 00:00:00"
33,80,140,60,47,19,329,40,50,70,120,303,10,"02/01/12 00:00:00"
18,73,132,59,55,22,331,10,50,60,110,719,11,"02/01/12 00:00:00"
34,74,136,62,40,19,958,30,50,60,110,720,12,"02/01/12 00:00:00"
115,206,354,148,91,48,844,140,150,220,370,312,2,"02/01/12 00:00:00"
95,150,254,104,55,33,596,100,110,150,260,847,3,"02/01/12 00:00:00"
201,311,545,234,110,77,1282,260,270,370,640,708,5,"02/01/12 00:00:00"
142,229,457,228,87,63,1436,180,260,270,530,312,6,"02/01/12 00:00:00"
105,144,243,99,39,27,766,110,80,130,210,815,8,"02/01/12 00:00:00"
68,107,190,83,39,27,613,60,70,90,160,773,9,"02/01/12 00:00:00"
99,137,232,95,38,26,809,100,80,120,200,847,10,"02/01/12 00:00:00"
79,112,189,77,33,21,449,80,60,100,160,309,11,"02/01/12 00:00:00"
59,114,189,75,55,24,549,50,60,100,160,630,12,"02/01/12 00:00:00"
10,27,45,18,17,5,818,20,10,30,40,712,1,"02/01/12 00:00:00"
6,35,63,28,29,8,961,20,20,40,60,319,2,"02/01/12 00:00:00"
12,31,54,23,19,7,620,20,20,30,50,712,3,"02/01/12 00:00:00"
11,28,47,19,17,5,774,20,20,30,50,319,5,"02/01/12 00:00:00"
32,43,43,0,11,0,774,40,0,50,50,712,6,"02/01/12 00:00:00"
201,311,545,234,110,77,1282,190,200,270,470,563,8,"02/01/12 00:00:00"
95,150,254,104,55,33,596,110,80,140,220,563,9,"02/01/12 00:00:00"
141,229,457,228,88,63,1436,140,190,210,400,563,11,"02/01/12 00:00:00"
169,294,534,240,125,91,1391,150,200,260,460,515,12,"02/01/12 00:00:00"
42,107,193,86,65,32,484,50,90,110,200,314,2,"02/01/12 00:00:00"
46,90,165,75,44,23,956,60,70,100,170,816,3,"02/01/12 00:00:00"
-4,41,74,33,45,12,193,0,20,40,60,573,13,"02/01/12 00:00:00"
48,73,123,50,25,14,814,70,50,90,140,573,5,"02/01/12 00:00:00"
38,61,103,42,23,11,771,60,40,80,120,573,6,"02/01/12 00:00:00"
-8,61,104,43,69,39,256,10,30,60,90,636,8,"02/01/12 00:00:00"
-32,18,102,84,50,26,625,-20,70,10,80,417,9,"02/01/12 00:00:00"
9,47,82,35,38,11,191,10,30,40,70,816,11,"02/01/12 00:00:00"
-7,38,68,30,45,11,165,-10,20,30,50,314,12,"02/01/12 00:00:00"
33,80,140,60,47,19,329,50,60,80,140,937,1,"02/01/12 00:00:00"
38,76,128,52,38,16,357,50,50,80,130,513,2,"02/01/12 00:00:00"
-3,75,129,54,78,49,427,20,50,80,130,614,3,"02/01/12 00:00:00"
62,120,200,80,58,26,640,60,60,110,170,614,11,"02/01/12 00:00:00"
71,120,206,86,49,26,490,70,70,110,180,513,12,"02/01/12 00:00:00"
18,73,132,59,55,22,331,40,60,90,150,614,6,"02/01/12 00:00:00"
98,170,340,170,72,47,1073,140,190,210,400,234,5,"02/01/12 00:00:00"
17,34,56,22,17,6,452,30,10,30,40,330,8,"02/01/12 00:00:00"
28,48,80,32,20,8,817,50,20,50,70,740,9,"02/01/12 00:00:00"
12,65,118,53,53,20,306,30,50,70,120,262,1,"02/01/12 00:00:00"
15,128,220,92,113,83,541,40,90,140,230,920,2,"02/01/12 00:00:00"
50,103,180,77,53,25,423,60,80,100,180,414,3,"02/01/12 00:00:00"
41,81,137,56,40,17,382,50,40,80,120,920,11,"02/01/12 00:00:00"
3,90,155,65,87,58,513,10,50,80,130,414,12,"02/01/12 00:00:00"
35,62,110,48,27,15,617,50,50,70,120,715,6,"02/01/12 00:00:00"
42,84,154,70,42,21,957,60,80,100,180,414,5,"02/01/12 00:00:00"
66,109,174,65,43,20,372,80,50,100,150,715,8,"02/01/12 00:00:00"
43,68,115,47,25,13,772,50,40,60,100,262,9,"02/01/12 00:00:00"
48,73,123,50,25,14,814,60,50,80,130,475,11,"02/01/12 00:00:00"
21,39,66,27,18,7,772,40,20,50,70,475,13,"02/01/12 00:00:00"
29,75,130,55,46,18,305,40,50,70,120,203,6,"02/01/12 00:00:00"
3,90,155,65,87,58,513,20,60,90,150,860,5,"02/01/12 00:00:00"
121,195,325,130,74,42,945,130,120,180,300,959,2,"02/01/12 00:00:00"
41,107,193,86,66,32,484,50,60,90,150,475,9,"02/01/12 00:00:00"
46,90,165,75,44,23,956,50,50,70,120,860,10,"02/01/12 00:00:00"
28,48,80,32,20,8,817,40,30,50,80,786,11,"02/01/12 00:00:00"
44,68,115,47,24,13,772,60,40,80,120,727,13,"02/01/12 00:00:00"
51,103,180,77,52,25,423,60,70,100,170,407,6,"02/01/12 00:00:00"
16,128,220,92,112,83,541,40,80,130,210,305,5,"02/01/12 00:00:00"
71,120,206,86,49,26,490,70,80,110,190,305,3,"02/01/12 00:00:00"
63,120,200,80,57,26,640,80,70,120,190,754,2,"02/01/12 00:00:00"
34,62,110,48,28,15,617,30,30,50,80,754,8,"02/01/12 00:00:00"
12,65,118,53,53,20,306,20,40,50,90,727,9,"02/01/12 00:00:00"
42,84,154,70,42,21,957,50,50,70,120,850,10,"02/01/12 00:00:00"
28,48,80,32,20,8,817,40,30,50,80,978,11,"02/01/12 00:00:00"
17,34,56,22,17,6,452,30,20,40,60,978,13,"02/01/12 00:00:00"
99,170,340,170,71,47,1073,110,160,170,330,508,7,"02/01/12 00:00:00"
-4,74,128,54,78,49,451,10,50,70,120,508,5,"02/01/12 00:00:00"
340,395,470,75,55,24,235,330,70,370,440,774,2,"02/01/12 00:00:00"
18,73,132,59,55,22,331,30,40,60,100,781,9,"02/01/12 00:00:00"
11,27,45,18,16,5,818,20,10,30,40,603,11,"02/01/12 00:00:00"
32,43,43,0,11,0,774,30,0,40,40,603,13,"02/01/12 00:00:00"
-6,38,68,30,44,11,165,0,20,40,60,603,7,"02/01/12 00:00:00"
-7,61,104,43,68,39,256,10,40,60,100,603,5,"02/01/12 00:00:00"
25,60,101,41,35,13,236,40,30,60,90,603,1,"02/01/12 00:00:00"
23,69,114,45,46,14,366,30,40,60,100,603,2,"02/01/12 00:00:00"
-4,41,74,33,45,12,193,0,20,30,50,603,9,"02/01/12 00:00:00"
100,137,232,95,37,26,809,120,100,150,250,631,11,"02/01/12 00:00:00"
105,144,243,99,39,27,766,130,100,160,260,518,12,"02/01/12 00:00:00"
79,112,189,77,33,21,449,90,80,120,200,845,13,"02/01/12 00:00:00"
264,352,580,228,88,63,1402,280,210,350,560,585,7,"02/01/12 00:00:00"
-203,-60,61,121,143,110,901,-190,110,-60,50,585,5,"02/01/12 00:00:00"
245,387,645,258,142,90,2067,250,240,370,610,917,2,"02/01/12 00:00:00"
131,255,495,240,124,91,1454,110,180,200,380,518,9,"02/01/12 00:00:00"
-120,-33,180,213,87,66,1214,-80,160,-20,140,607,10,"02/01/12 00:00:00"
65,109,174,65,44,20,372,70,50,90,140,504,5,"02/01/12 00:00:00"
41,81,137,56,40,17,382,50,40,70,110,985,6,"02/01/12 00:00:00"
35,63,112,49,28,16,617,40,40,60,100,337,8,"02/01/12 00:00:00"
42,107,193,86,65,32,484,40,80,100,180,225,9,"02/01/12 00:00:00"
2,90,155,65,88,58,342,10,50,80,130,318,4,"02/01/12 00:00:00"
34,56,94,38,22,10,772,60,40,70,110,337,2,"02/01/12 00:00:00"
44,68,115,47,24,13,772,70,50,90,140,504,3,"02/01/12 00:00:00"
-7,61,104,43,68,39,256,0,30,50,80,505,5,"02/01/12 00:00:00"
8,47,82,35,39,11,191,10,30,40,70,505,6,"02/01/12 00:00:00"
10,27,45,18,17,5,818,20,10,30,40,505,8,"02/01/12 00:00:00"
5,35,63,28,30,8,961,20,20,40,60,505,9,"02/01/12 00:00:00"
-7,38,68,30,45,11,104,0,20,30,50,505,4,"02/01/12 00:00:00"
24,69,114,45,45,14,366,50,50,90,140,505,2,"02/01/12 00:00:00"
-31,18,102,84,49,26,625,-20,100,20,120,505,3,"02/01/12 00:00:00"
70,120,206,86,50,26,300,70,70,100,170,405,4,"02/01/12 00:00:00"
17,34,56,22,17,6,452,30,10,30,40,918,5,"02/01/12 00:00:00"
63,120,200,80,57,26,640,70,60,110,170,405,6,"02/01/12 00:00:00"
11,65,118,53,54,20,306,20,50,60,110,918,8,"02/01/12 00:00:00"
15,128,220,92,113,83,541,40,80,130,210,405,9,"02/01/12 00:00:00"
29,56,100,44,27,14,618,50,50,70,120,918,2,"02/01/12 00:00:00"
29,48,80,32,19,8,817,50,40,60,100,405,3,"02/01/12 00:00:00"
58,114,189,75,56,24,378,60,60,100,160,512,4,"02/01/12 00:00:00"
106,144,243,99,38,27,766,100,80,120,200,903,5,"02/01/12 00:00:00"
80,112,189,77,32,21,449,90,60,100,160,956,6,"02/01/12 00:00:00"
33,80,140,60,47,19,329,50,50,80,130,214,8,"02/01/12 00:00:00"
38,76,128,52,38,16,357,50,40,80,120,432,9,"02/01/12 00:00:00"
164,252,465,213,88,66,942,240,260,320,580,972,2,"02/01/12 00:00:00"
68,107,190,83,39,27,613,100,100,130,230,432,3,"02/01/12 00:00:00"
38,61,103,42,23,11,771,30,40,50,90,435,4,"02/01/12 00:00:00"
35,63,112,49,28,16,617,40,40,60,100,801,5,"02/01/12 00:00:00"
48,73,123,50,25,14,814,50,40,70,110,435,6,"02/01/12 00:00:00"
24,60,101,41,36,13,236,30,30,50,80,435,8,"02/01/12 00:00:00"
24,69,114,45,45,14,366,40,30,70,100,435,9,"02/01/12 00:00:00"
-31,18,102,84,49,26,625,-30,70,10,80,435,10,"02/01/12 00:00:00"
-7,61,104,43,68,39,256,10,20,50,70,435,11,"02/01/12 00:00:00"
9,47,82,35,38,11,191,10,20,30,50,435,12,"02/01/12 00:00:00"
-6,38,68,30,44,11,165,10,10,30,40,435,13,"02/01/12 00:00:00"
46,90,165,75,44,23,956,70,90,110,200,435,1,"02/01/12 00:00:00"
30,75,130,55,45,18,305,70,60,100,160,435,2,"02/01/12 00:00:00"
41,107,193,86,66,32,484,80,100,140,240,435,3,"02/01/12 00:00:00"
142,229,457,228,87,63,1436,150,210,220,430,831,4,"02/01/12 00:00:00"
26,169,290,121,143,110,712,30,110,160,270,916,5,"02/01/12 00:00:00"
202,311,545,234,109,77,1282,200,220,300,520,951,6,"02/01/12 00:00:00"
100,137,232,95,37,26,809,100,80,120,200,949,8,"02/01/12 00:00:00"
164,252,465,213,88,66,942,160,180,220,400,714,9,"02/01/12 00:00:00"
68,107,190,83,39,27,613,60,70,90,160,530,10,"02/01/12 00:00:00"
106,144,243,99,38,27,766,90,60,100,160,626,11,"02/01/12 00:00:00"
80,112,189,77,32,21,449,60,50,70,120,858,12,"02/01/12 00:00:00"
58,114,189,75,56,24,549,50,40,80,120,858,13,"02/01/12 00:00:00"
-27,28,132,104,55,33,685,-20,130,30,160,909,1,"02/01/12 00:00:00"
245,387,645,258,142,90,2067,360,320,480,800,415,2,"02/01/12 00:00:00"
-117,-26,122,148,91,48,1071,-110,180,-30,150,818,3,"02/01/12 00:00:00"
31,43,43,0,12,0,774,30,0,40,40,702,4,"02/01/12 00:00:00"
10,27,45,18,17,5,818,20,10,30,40,775,5,"02/01/12 00:00:00"
11,28,47,19,17,5,774,20,10,30,40,775,6,"02/01/12 00:00:00"
6,35,63,28,29,8,961,20,30,40,70,702,3,"02/01/12 00:00:00"
26,169,290,121,143,110,712,40,100,150,250,775,8,"02/01/12 00:00:00"
115,206,354,148,91,48,844,120,120,190,310,775,9,"02/01/12 00:00:00"
94,150,254,104,56,33,596,110,80,140,220,702,10,"02/01/12 00:00:00"
202,311,545,234,109,77,1282,150,150,220,370,775,11,"02/01/12 00:00:00"
142,229,457,228,87,63,1436,100,150,160,310,702,12,"02/01/12 00:00:00"
-342,-240,23,240,125,91,1937,-220,150,-150,0,702,13,"02/01/12 00:00:00"
-5,41,74,33,46,12,193,10,40,50,90,775,2,"02/01/12 00:00:00"
18,73,132,59,55,22,331,20,50,70,120,503,4,"02/01/12 00:00:00"
33,80,140,60,47,19,329,50,50,80,130,541,5,"02/01/12 00:00:00"
99,170,340,170,71,47,1073,100,160,160,320,971,6,"02/01/12 00:00:00"
38,76,128,52,38,16,357,70,60,100,160,971,3,"02/01/12 00:00:00"
28,48,81,33,20,9,772,50,20,50,70,971,8,"02/01/12 00:00:00"
30,56,100,44,26,14,618,30,30,50,80,541,9,"02/01/12 00:00:00"
17,34,56,22,17,6,452,20,10,20,30,541,11,"02/01/12 00:00:00"
62,120,200,80,58,26,640,50,50,80,130,971,12,"02/01/12 00:00:00"
71,120,206,86,49,26,490,60,50,90,140,503,13,"02/01/12 00:00:00"
-4,75,129,54,79,49,427,40,60,100,160,971,1,"02/01/12 00:00:00"
